動物類型,年,月,登記數,除戶數,絕育數,絕育除戶數,絕育率
狗,2019,12,1198,134,582,50,50.00
貓,2019,12,981,66,708,25,74.64
狗,2019,11,1149,157,611,69,54.64
貓,2019,11,1081,79,761,40,71.96
狗,2019,10,1363,152,735,52,56.40
貓,2019,10,1205,80,833,38,70.67
狗,2019,9,1212,118,648,53,54.39
貓,2019,9,928,92,623,38,69.98
狗,2019,8,1577,180,817,53,54.69
貓,2019,8,995,90,661,29,69.83
狗,2019,7,1313,162,695,77,53.69
貓,2019,7,1098,104,670,41,63.28
狗,2019,6,1055,113,565,42,55.52
貓,2019,6,906,95,565,34,65.47
狗,2019,5,1110,135,569,62,52.00
貓,2019,5,1078,127,663,37,65.83
狗,2019,4,1213,166,694,64,60.17
貓,2019,4,1104,97,777,34,73.78
狗,2019,3,1313,161,716,61,56.86
貓,2019,3,1222,117,826,40,71.13
狗,2019,2,1080,151,552,73,51.56
貓,2019,2,811,74,610,33,78.29
狗,2019,1,1453,172,830,65,59.72
貓,2019,1,1149,100,862,50,77.41
狗,2018,12,1219,176,585,52,51.10
貓,2018,12,855,61,579,24,69.90
狗,2018,11,1320,195,643,57,52.09
貓,2018,11,1023,113,660,33,68.90
狗,2018,10,1600,220,693,51,46.52
貓,2018,10,1596,362,759,61,56.56
狗,2018,9,986,118,557,58,57.49
貓,2018,9,680,63,487,25,74.88
狗,2018,8,1161,158,650,82,56.63
貓,2018,8,799,103,564,38,75.57
狗,2018,7,1069,106,578,56,54.21
貓,2018,7,619,64,441,28,74.41
狗,2018,6,934,90,541,35,59.95
貓,2018,6,726,66,524,36,73.94
狗,2018,5,1065,124,636,69,60.26
貓,2018,5,743,51,552,34,74.86
狗,2018,4,1127,114,742,71,66.24
貓,2018,4,734,49,610,38,83.50
狗,2018,3,1302,160,794,80,62.52
貓,2018,3,924,71,779,47,85.81
狗,2018,2,883,101,507,40,59.72
貓,2018,2,576,28,504,22,87.96
狗,2018,1,1084,144,661,69,62.98
貓,2018,1,844,52,735,44,87.25
狗,2017,12,774,73,442,33,58.35
貓,2017,12,603,37,477,28,79.33
狗,2017,11,992,117,574,52,59.66
貓,2017,11,608,40,460,25,76.58
狗,2017,10,766,96,468,49,62.54
貓,2017,10,630,35,496,30,78.32
狗,2017,9,1039,114,594,58,57.95
貓,2017,9,688,45,496,35,71.70
狗,2017,8,920,129,515,69,56.38
貓,2017,8,611,40,449,23,74.61
狗,2017,7,1032,119,610,70,59.15
貓,2017,7,598,41,451,31,75.40
狗,2017,6,916,119,489,65,53.20
貓,2017,6,554,63,421,50,75.56
狗,2017,5,945,153,536,81,57.45
貓,2017,5,554,56,432,45,77.71
狗,2017,4,1085,188,658,112,60.87
貓,2017,4,634,51,526,42,83.02
狗,2017,3,1072,170,663,99,62.53
貓,2017,3,782,102,688,92,87.65
狗,2017,2,993,146,627,72,65.53
貓,2017,2,798,73,693,67,86.34
狗,2017,1,905,143,523,65,60.10
貓,2017,1,711,73,606,61,85.42
狗,2016,12,925,166,514,95,55.20
貓,2016,12,578,69,440,52,76.23
狗,2016,11,992,191,565,123,55.18
貓,2016,11,587,63,480,52,81.68
狗,2016,10,1318,335,654,152,51.07
貓,2016,10,683,87,533,69,77.85
狗,2016,9,1184,308,594,149,50.80
貓,2016,9,545,66,410,46,75.99
狗,2016,8,1296,234,679,103,54.24
貓,2016,8,587,62,444,43,76.38
狗,2016,7,1382,295,747,144,55.47
貓,2016,7,680,78,556,67,81.23
狗,2016,6,1140,226,675,126,60.07
貓,2016,6,600,72,494,62,81.82
狗,2016,5,1178,183,710,99,61.41
貓,2016,5,687,75,563,58,82.52
狗,2016,4,1408,255,835,143,60.02
貓,2016,4,856,120,768,105,90.08
狗,2016,3,1430,285,872,175,60.87
貓,2016,3,913,127,821,109,90.59
狗,2016,2,936,160,571,87,62.37
貓,2016,2,697,69,633,65,90.45
狗,2016,1,1119,217,705,128,63.97
貓,2016,1,886,82,827,74,93.66
狗,2015,12,1013,214,579,118,57.70
貓,2015,12,473,48,395,35,84.71
狗,2015,11,1117,278,578,134,52.92
貓,2015,11,567,55,502,47,88.87
狗,2015,10,1468,338,747,166,51.42
貓,2015,10,474,53,396,41,84.32
狗,2015,9,1183,263,570,106,50.43
貓,2015,9,466,56,388,37,85.61
狗,2015,8,1248,310,709,170,57.46
貓,2015,8,563,97,485,85,85.84
狗,2015,7,1613,418,826,227,50.13
貓,2015,7,651,109,558,96,85.24
狗,2015,6,1509,435,906,258,60.34
貓,2015,6,940,170,873,160,92.60
狗,2015,5,1441,348,871,183,62.95
貓,2015,5,937,118,870,107,93.16
狗,2015,4,1738,414,1031,231,60.42
貓,2015,4,1124,194,1040,181,92.37
狗,2015,3,1714,457,1029,248,62.13
貓,2015,3,1167,164,1100,157,94.02
狗,2015,2,995,242,591,144,59.36
貓,2015,2,697,101,651,93,93.62
狗,2015,1,1360,317,841,189,62.51
貓,2015,1,977,120,911,109,93.58
