動物類型,年,月,登記數,除戶數,絕育數,絕育除戶數,絕育率
貓,2018,10,853,75,639,34,77.76
狗,2018,9,648,73,468,54,72.00
貓,2018,9,505,42,458,37,90.93
狗,2018,8,781,102,547,78,69.07
貓,2018,8,542,43,470,23,89.58
狗,2018,7,684,63,419,37,61.51
貓,2018,7,494,32,437,20,90.26
狗,2018,6,632,66,421,39,67.49
貓,2018,6,466,27,415,16,90.89
狗,2018,5,699,80,451,48,65.11
貓,2018,5,489,34,436,21,91.21
狗,2018,4,601,68,392,40,66.04
貓,2018,4,529,23,491,9,95.26
狗,2018,3,737,84,502,42,70.44
貓,2018,3,684,40,631,33,92.86
狗,2018,2,488,54,341,32,71.20
貓,2018,2,439,22,400,14,92.57
狗,2018,1,616,56,416,31,68.75
貓,2018,1,553,51,511,47,92.43
狗,2017,12,543,60,393,45,72.05
貓,2017,12,474,27,426,20,90.83
狗,2017,11,649,66,472,44,73.41
貓,2017,11,479,20,437,14,92.16
狗,2017,10,664,68,491,40,75.67
貓,2017,10,535,34,488,24,92.61
狗,2017,9,627,70,426,49,67.68
貓,2017,9,486,28,420,14,88.65
狗,2017,8,694,80,484,53,70.20
貓,2017,8,451,34,388,23,87.53
狗,2017,7,820,87,577,53,71.49
貓,2017,7,500,34,452,25,91.63
狗,2017,6,722,83,491,47,69.48
貓,2017,6,452,32,389,23,87.14
狗,2017,5,645,92,464,55,73.96
貓,2017,5,486,44,411,29,86.43
狗,2017,4,727,80,514,56,70.79
貓,2017,4,495,32,458,27,93.09
狗,2017,3,692,101,478,62,70.39
貓,2017,3,546,37,498,26,92.73
狗,2017,2,647,85,479,49,76.51
貓,2017,2,554,39,505,29,92.43
狗,2017,1,587,72,410,38,72.23
貓,2017,1,482,33,431,22,91.09
狗,2016,12,608,83,369,36,63.43
貓,2016,12,370,31,308,20,84.96
狗,2016,11,778,98,524,58,68.53
貓,2016,11,510,40,429,26,85.74
狗,2016,10,739,120,472,67,65.43
貓,2016,10,515,46,450,26,90.41
狗,2016,9,689,105,421,46,64.21
貓,2016,9,461,62,380,42,84.71
狗,2016,8,929,163,585,66,67.75
貓,2016,8,501,67,419,42,86.87
狗,2016,7,960,164,606,89,64.95
貓,2016,7,737,95,607,62,84.89
狗,2016,6,722,117,456,49,67.27
貓,2016,6,587,84,501,53,89.07
狗,2016,5,806,146,489,66,64.09
貓,2016,5,523,68,452,40,90.55
狗,2016,4,816,155,523,78,67.32
貓,2016,4,501,46,467,40,93.85
狗,2016,3,795,129,536,69,70.12
貓,2016,3,510,54,472,40,94.74
狗,2016,2,543,76,363,37,69.81
貓,2016,2,461,37,424,26,93.87
狗,2016,1,753,136,482,68,67.10
貓,2016,1,491,58,456,48,94.23
狗,2015,12,643,81,447,44,71.71
貓,2015,12,309,37,255,22,85.66
狗,2015,11,829,137,539,66,68.35
貓,2015,11,450,75,385,43,91.20
狗,2015,10,829,131,501,67,62.18
貓,2015,10,457,45,411,34,91.50
狗,2015,9,826,163,550,66,73.00
貓,2015,9,454,67,409,59,90.44
狗,2015,8,751,151,494,68,71.00
貓,2015,8,383,37,343,29,90.75
狗,2015,7,772,150,478,82,63.67
貓,2015,7,394,48,344,37,88.73
狗,2015,6,907,158,613,84,70.63
貓,2015,6,383,46,347,35,92.58
狗,2015,5,779,142,545,80,73.00
貓,2015,5,410,47,384,44,93.66
狗,2015,4,911,154,602,99,66.45
貓,2015,4,512,63,479,57,93.99
狗,2015,3,891,139,615,81,71.01
貓,2015,3,585,51,554,44,95.51
狗,2015,2,626,98,427,53,70.83
貓,2015,2,412,48,382,39,94.23
狗,2015,1,687,109,477,56,72.84
貓,2015,1,576,51,536,41,94.29
